"title","actor","year","budget","adjustedbudget","gross","adjustedgross","reception"
"Dr. No","Sean Connery",1962,1.1,7.0,59.5,448.8,96
"From Russia With Love","Sean Connery",1963,2.0,12.6,78.9,543.8,96
"Goldfinger","Sean Connery",1964,3.0,18.6,124.9,820.4,96
"Thunderball","Sean Connery",1965,6.8,41.9,141.2,848.1,86
"You Only Live Twice","Sean Connery",1967,10.3,59.9,101.0,514.2,72
"On Her Majesty's Secret Service","George Lazenby",1969,7.0,37.3,64.6,291.5,82
"Diamonds Are Forever","Sean Connery",1971,7.2,34.7,116.0,442.5,67
"Live and Let Die","Roger Moore",1973,7.0,30.8,126.4,460.3,66
"The Man with the Golden Gun","Roger Moore",1974,7.0,27.7,98.5,334.0,45
"The Spy Who Loved Me","Roger Moore",1977,14.0,45.1,185.4,533.0,79
"Moonraker","Roger Moore",1979,34.0,91.5,210.3,535.0,60
"For Your Eyes Only","Roger Moore",1981,28.0,60.2,194.9,449.4,74
"Octopussy","Roger Moore",1983,27.5,53.9,183.7,373.8,42
"A View to a Kill","Roger Moore",1985,30,54.5,152.4,275.2,36
"The Living Daylights","Timothy Dalton",1987,40.0,68.8,191.2,313.5,70
"Licence to Kill","Timothy Dalton",1989,36.0,56.7,156.2,250.9,77
"Golden Eye","Pierce Brosnan",1995,60,76.9,351.9,518.5,78
"Tomorrow Never Dies","Pierce Brosnan",1997,110.0,133.9,338.9,463.2,57
"The World Is Not Enough","Pierce Brosnan",1999,135.0,158.3,361.8,439.5,51
"Die Another Day","Pierce Brosnan",2002,142.0,154.2,431.9,465.4,58
"Casino Royale","Daniel Craig",2006,150.0,145.3,594.2,581.5,95
"Quantum Of Solace","Daniel Craig",2008,200.0,181.4,576.0,514.2,65
"Skyfall","Daniel Craig",2012,200.0,170.2,1108.6,943.5,93
"Spectre","Daniel Craig",2015,250,205.9,880.7,725.5,64
