"title","year","gross","critics","audience"
"Toy Story",1995,373.6,100,96
"A Bug's Life",1998,363.3,92,72
"Toy Story 2",1999,497.4,100,86
"Monsters, Inc.",2001,577.4,96,90
"Finding Nemo",2003,940.3,99,86
"The Incredibles",2004,633,97,75
"Cars",2006,462.2,74,79
"Ratatouille",2007,620.7,96,87
"WALL-E",2008,533.3,96,89
"Up",2009,735.1,98,90
"Toy Story 3",2010,1067,99,89
"Cars 2",2011,562.1,39,50
"Bravo",2012,540.4,78,76
"Monsters University",2013,744.2,78,81
"Inside Out",2015,857.6,98,89
"The Good Dinosaur",2015,332.2,77,65
"Finding Dory",2016,1029,94,85
